Time Step: 0, Visible Satellites: 9
Satellite 0 - x: 26554606.133181546, y: 521860.35055459826, z: 773689.7867466233, Azimuth: 1.48, Elevation: 2.19, r_Earth: 26571000.00, theta_Earth: 1.13, phi_Earth: 88.33, r_Receiver: 20205169.90, theta_Receiver: 1.48, phi_Receiver: 2.19
Satellite 1 - x: 20932198.3533146, y: 9152009.998121917, z: 13568412.806653915, Azimuth: 32.15, Elevation: 38.27, r_Earth: 26571000.00, theta_Earth: 23.62, phi_Earth: 59.29, r_Receiver: 21906382.87, theta_Receiver: 32.15, phi_Receiver: 38.27
Satellite 9 - x: 22051138.629944496, y: -8289746.255257363, z: -12290054.23691922, Azimuth: -27.86, Elevation: -34.72, r_Earth: 26571000.00, theta_Earth: 339.40, phi_Earth: 117.55, r_Receiver: 21578509.53, theta_Receiver: 332.14, phi_Receiver: -34.72
Satellite 15 - x: 13756312.029729227, y: -22717978.06162556, z: -821823.0540856292, Azimuth: -71.99, Elevation: -1.97, r_Earth: 26571000.00, theta_Earth: 301.20, phi_Earth: 91.77, r_Receiver: 23902400.59, theta_Receiver: 288.01, phi_Receiver: -1.97
Satellite 16 - x: 18396200.148173656, y: -13507990.697315391, z: -13606323.839655453, Azimuth: -48.32, Elevation: -36.96, r_Earth: 26571000.00, theta_Earth: 323.71, phi_Earth: 120.80, r_Receiver: 22631908.88, theta_Receiver: 311.68, phi_Receiver: -36.96
Satellite 17 - x: 16006212.411889508, y: 863904.9352293025, z: -21191339.586924672, Azimuth: 5.12, Elevation: -65.46, r_Earth: 26571000.00, theta_Earth: 3.09, phi_Earth: 142.90, r_Receiver: 23294989.23, theta_Receiver: 5.12, phi_Receiver: -65.46
Satellite 23 - x: 16664367.675335038, y: 975555.0772706136, z: 20672812.659927536, Azimuth: 5.41, Elevation: 63.43, r_Earth: 26571000.00, theta_Earth: 3.35, phi_Earth: 38.92, r_Receiver: 23114287.99, theta_Receiver: 5.41, phi_Receiver: 63.43
Satellite 24 - x: 18197514.297271702, y: 14993489.02945509, z: 12250053.106995165, Azimuth: 51.73, Elevation: 32.68, r_Earth: 26571000.00, theta_Earth: 39.49, phi_Earth: 62.55, r_Receiver: 22687771.04, theta_Receiver: 51.73, phi_Receiver: 32.68
Satellite 25 - x: 12776710.356370535, y: 23281850.262418434, z: -853909.7304403255, Azimuth: 74.62, Elevation: -2.03, r_Earth: 26571000.00, theta_Earth: 61.24, phi_Earth: 91.84, r_Receiver: 24162095.08, theta_Receiver: 74.62, phi_Receiver: -2.03
Time Step: 9, Visible Satellites: 9
Satellite 0 - x: 26550271.20353008, y: 586790.2979810316, z: 869952.3924886378, Azimuth: 1.67, Elevation: 2.47, r_Earth: 26571000.00, theta_Earth: 1.27, phi_Earth: 88.12, r_Receiver: 20206536.72, theta_Receiver: 1.67, phi_Receiver: 2.47
Satellite 1 - x: 20860428.090401206, y: 9203108.751643121, z: 13644169.824164102, Azimuth: 32.42, Elevation: 38.48, r_Earth: 26571000.00, theta_Earth: 23.81, phi_Earth: 59.10, r_Receiver: 21927245.77, theta_Receiver: 32.42, phi_Receiver: 38.48
Satellite 9 - x: 22115754.87328504, y: -8235744.547373288, z: -12209993.412577262, Azimuth: -27.61, Elevation: -34.50, r_Earth: 26571000.00, theta_Earth: 339.58, phi_Earth: 117.36, r_Receiver: 21559423.31, theta_Receiver: 332.39, phi_Receiver: -34.50
Satellite 15 - x: 13810243.888670987, y: -22681541.797405746, z: -918077.5718650633, Azimuth: -71.84, Elevation: -2.20, r_Earth: 26571000.00, theta_Earth: 301.34, phi_Earth: 91.98, r_Receiver: 23888021.15, theta_Receiver: 288.16, phi_Receiver: -2.20
Satellite 16 - x: 18404391.92015111, y: -13420157.502667258, z: -13681950.579251492, Azimuth: -48.12, Elevation: -37.20, r_Earth: 26571000.00, theta_Earth: 323.90, phi_Earth: 120.99, r_Receiver: 22629602.74, theta_Receiver: 311.88, phi_Receiver: -37.20
Satellite 17 - x: 15965533.714564582, y: 969570.7128140503, z: -21217438.74368334, Azimuth: 5.77, Elevation: -65.56, r_Earth: 26571000.00, theta_Earth: 3.48, phi_Earth: 142.99, r_Receiver: 23306111.89, theta_Receiver: 5.77, phi_Receiver: -65.56
Satellite 23 - x: 16699295.971659858, y: 1081201.2031354613, z: 20639344.926844053, Azimuth: 5.98, Elevation: 63.29, r_Earth: 26571000.00, theta_Earth: 3.70, phi_Earth: 39.03, r_Receiver: 23104658.68, theta_Receiver: 5.98, phi_Receiver: 63.29
Satellite 24 - x: 18182881.607147627, y: 15076305.633118695, z: 12169875.345181081, Azimuth: 51.92, Elevation: 32.43, r_Earth: 26571000.00, theta_Earth: 39.66, phi_Earth: 62.74, r_Receiver: 22691879.71, theta_Receiver: 51.92, phi_Receiver: 32.43
Satellite 25 - x: 12718108.377765851, y: 23310190.023359362, z: -950158.600592569, Azimuth: 74.77, Elevation: -2.25, r_Earth: 26571000.00, theta_Earth: 61.38, phi_Earth: 92.05, r_Receiver: 24177542.16, theta_Receiver: 74.77, phi_Receiver: -2.25
Time Step: 10, Visible Satellites: 9
Satellite 0 - x: 26545428.55319454, y: 651709.0242199593, z: 966198.3621360358, Azimuth: 1.85, Elevation: 2.74, r_Earth: 26571000.00, theta_Earth: 1.41, phi_Earth: 87.92, r_Receiver: 20208063.52, theta_Receiver: 1.85, phi_Receiver: 2.74
Satellite 1 - x: 20788258.91364098, y: 9254031.514168402, z: 13719665.924292928, Azimuth: 32.70, Elevation: 38.69, r_Earth: 26571000.00, theta_Earth: 24.00, phi_Earth: 58.91, r_Receiver: 21948204.64, theta_Receiver: 32.70, phi_Receiver: 38.69
Satellite 9 - x: 22179948.197171908, y: -8181585.347393405, z: -12129699.096601212, Azimuth: -27.36, Elevation: -34.27, r_Earth: 26571000.00, theta_Earth: 339.75, phi_Earth: 117.16, r_Receiver: 21540445.26, theta_Receiver: 332.64, phi_Receiver: -34.27
